transaction_id,sender_account,receiver_account,amount,transaction_type,city,timestamp
439032,ACC5617,ACC2904,4098.86,UPI,Hyderabad,2025-03-13 22:40:26.252761
244514,ACC1500,ACC1416,10374.0,IMPS,Mumbai,2025-02-22 22:40:26.252821
790596,ACC6095,ACC5743,27301.93,IMPS,Delhi,2025-05-25 22:40:26.252842
337966,ACC9622,ACC8065,6358.1,UPI,Mumbai,2025-08-30 22:40:26.252860
317977,ACC9623,ACC2596,41720.87,IMPS,Bangalore,2025-05-01 22:40:26.252877
899268,ACC7266,ACC5532,4294.97,IMPS,Delhi,2026-01-08 22:40:26.252893
207905,ACC8548,ACC2270,10963.07,IMPS,Bangalore,2025-09-18 22:40:26.252909
778573,ACC2608,ACC6832,42451.49,UPI,Hyderabad,2025-12-21 22:40:26.252925
693363,ACC8926,ACC9965,8810.13,NEFT,Bangalore,2025-03-04 22:40:26.252940
282691,ACC9894,ACC5968,13875.91,UPI,Pune,2025-05-28 22:40:26.252956
409990,ACC5300,ACC6919,42033.72,NEFT,Pune,2025-04-09 22:40:26.252972
135094,ACC6819,ACC5198,33709.54,NEFT,Delhi,2025-10-22 22:40:26.252987
792516,ACC4432,ACC9178,33590.42,NEFT,Mumbai,2025-03-15 22:40:26.253003
264463,ACC8039,ACC9676,47659.18,UPI,Delhi,2025-08-08 22:40:26.253018
189670,ACC9073,ACC7459,28867.04,NEFT,Hyderabad,2026-02-12 22:40:26.253033
980556,ACC2144,ACC3507,44331.23,RTGS,Bangalore,2025-12-15 22:40:26.253048
978609,ACC7988,ACC6529,45225.15,NEFT,Delhi,2025-09-20 22:40:26.253062
455392,ACC7370,ACC5716,2918.3,UPI,Delhi,2025-03-04 22:40:26.253077
490368,ACC4612,ACC1074,10537.88,RTGS,Pune,2025-12-22 22:40:26.253092
853314,ACC4961,ACC3082,47616.82,NEFT,Delhi,2025-02-27 22:40:26.253107
717506,ACC5074,ACC1720,28285.82,NEFT,Hyderabad,2026-02-01 22:40:26.253122
714376,ACC7894,ACC8906,1385.4,UPI,Hyderabad,2025-12-14 22:40:26.253137
284091,ACC8555,ACC1823,5690.48,NEFT,Mumbai,2026-02-16 22:40:26.253152
659189,ACC6340,ACC7379,49228.0,NEFT,Mumbai,2025-04-09 22:40:26.253179
390146,ACC4680,ACC8667,35156.63,IMPS,Delhi,2025-03-24 22:40:26.253212
527750,ACC6012,ACC1234,42248.25,NEFT,Pune,2025-03-11 22:40:26.253229
714960,ACC9529,ACC7339,11374.32,IMPS,Pune,2025-12-01 22:40:26.253244
693893,ACC5696,ACC2910,15135.44,RTGS,Bangalore,2026-01-25 22:40:26.253259
282375,ACC2088,ACC1278,8606.54,UPI,Pune,2025-12-23 22:40:26.253274
134586,ACC9433,ACC8968,42699.21,RTGS,Hyderabad,2025-08-09 22:40:26.253289
776638,ACC5560,ACC4272,38963.84,NEFT,Pune,2025-08-27 22:40:26.253304
718843,ACC2267,ACC4118,31903.41,UPI,Bangalore,2025-06-01 22:40:26.253319
344512,ACC9343,ACC9036,46412.35,UPI,Mumbai,2025-10-30 22:40:26.253334
140463,ACC9883,ACC7292,14886.63,NEFT,Pune,2025-10-21 22:40:26.253349
640649,ACC4978,ACC5340,36910.37,NEFT,Bangalore,2026-01-02 22:40:26.253365
515687,ACC5276,ACC7180,37081.71,NEFT,Bangalore,2025-05-30 22:40:26.253380
457669,ACC1669,ACC4421,32524.64,UPI,Bangalore,2026-01-29 22:40:26.253395
392331,ACC4928,ACC2324,21730.35,RTGS,Hyderabad,2025-04-14 22:40:26.253410
773031,ACC9135,ACC3071,25874.98,UPI,Delhi,2026-01-14 22:40:26.253424
300729,ACC9546,ACC4872,34374.98,UPI,Mumbai,2025-11-10 22:40:26.253439
775836,ACC2925,ACC7834,48259.99,RTGS,Hyderabad,2025-11-19 22:40:26.253454
783631,ACC9666,ACC4355,43302.66,RTGS,Hyderabad,2025-12-25 22:40:26.253470
374032,ACC1706,ACC4950,43689.54,UPI,Pune,2025-05-04 22:40:26.253485
793569,ACC3981,ACC8470,46525.97,NEFT,Mumbai,2025-11-06 22:40:26.253500
627464,ACC9682,ACC8222,28740.02,UPI,Mumbai,2026-01-26 22:40:26.253514
270712,ACC5142,ACC9105,40353.38,RTGS,Delhi,2025-08-02 22:40:26.253529
310685,ACC7209,ACC4551,32941.45,UPI,Delhi,2025-06-11 22:40:26.253544
311917,ACC7115,ACC5876,6778.47,NEFT,Hyderabad,2026-02-08 22:40:26.253559
930581,ACC4495,ACC2295,17451.32,NEFT,Pune,2025-03-20 22:40:26.253573
966447,ACC6998,ACC3006,24301.83,RTGS,Mumbai,2026-01-10 22:40:26.253588
